Time,Buoy ID,Time
2310,42002,11:10:10 PM
2210,42059,10:10:10 PM
2210,44007,10:10:10 PM
2210,44007,10:10:10 PM
2210,44013,10:10:10 PM
2210,44013,10:10:10 PM
2210,44020,10:10:10 PM
2210,44020,10:10:10 PM
2210,44025,10:10:10 PM
2210,44066,10:10:10 PM
2210,45002,10:10:10 PM
2210,45007,10:10:10 PM
2210,45012,10:10:10 PM
2110,45003,9:10:10 PM
2110,46053,9:10:10 PM
2110,46084,9:10:10 PM
2110,42059,9:10:10 PM
2110,46089,9:10:10 PM
2110,44027,9:10:10 PM
2110,44025,9:10:10 PM
2110,44020,9:10:10 PM
2110,44007,9:10:10 PM
2110,44013,9:10:10 PM
2110,42060,9:10:10 PM
2110,44066,9:10:10 PM
2110,45012,9:10:10 PM
2110,41043,9:10:10 PM
2110,41046,9:10:10 PM
2010,44011,8:10:10 PM
2010,46089,8:10:10 PM
2010,46084,8:10:10 PM
2010,45007,8:10:10 PM
2010,46072,8:10:10 PM
2010,46071,8:10:10 PM
2010,46078,8:10:10 PM
1910,46084,7:10:10 PM
1910,46072,7:10:10 PM
1910,46026,7:10:10 PM
1810,46071,6:10:10 PM
1810,46072,6:10:10 PM
1710,46066,5:10:10 PM
1710,46078,5:10:10 PM
1710,51001,5:10:10 PM
1610,46002,4:10:10 PM
1610,46027,4:10:10 PM
1610,46059,4:10:10 PM
1610,46088,4:10:10 PM
1610,46089,4:10:10 PM
1610,51000,4:10:10 PM
1610,51002,4:10:10 PM
1610,51003,4:10:10 PM
1510,46002,3:10:10 PM
1510,46011,3:10:10 PM
1510,46012,3:10:10 PM
1510,46026,3:10:10 PM
1510,46028,3:10:10 PM
1510,46042,3:10:10 PM
1510,46054,3:10:10 PM
1510,46069,3:10:10 PM
1510,46088,3:10:10 PM
1410,46011,2:10:10 PM
1410,46012,2:10:10 PM
1410,46026,2:10:10 PM
1410,46053,2:10:10 PM
1410,46053,2:10:10 PM
1410,46054,2:10:10 PM
1410,46069,2:10:10 PM
1310,42039,1:10:10 PM
1310,42040,1:10:10 PM
1310,44011,1:10:10 PM
1310,44025,1:10:10 PM
1310,44027,1:10:10 PM
1310,44066,1:10:10 PM
1310,45002,1:10:10 PM
1310,45003,1:10:10 PM
1310,45005,1:10:10 PM
1310,45012,1:10:10 PM
1210,45002,12:10:10 PM
1210,45003,12:10:10 PM
1210,45005,12:10:10 PM
1210,45012,12:10:10 PM
1110,44007,11:10:10 AM
1110,44013,11:10:10 AM
1110,44025,11:10:10 AM
1110,45012,11:10:10 AM
1110,46053,11:10:10 AM
1110,45012,11:10:10 AM
1110,45005,11:10:10 AM
1110,44027,11:10:10 AM
1110,44025,11:10:10 AM
1110,44020,11:10:10 AM
1110,44007,11:10:10 AM
1110,44013,11:10:10 AM
1110,42059,11:10:10 AM
1110,44011,11:10:10 AM
1110,42060,11:10:10 AM
1110,44066,11:10:10 AM
1010,42059,10:10:10 AM
1010,42060,10:10:10 AM
510,46071,5:10:10 AM
410,46071,4:10:10 AM
410,46072,4:10:10 AM
410,51002,4:10:10 AM
410,51003,4:10:10 AM
410,51101,4:10:10 AM
410,51104,4:10:10 AM
410,51101,4:10:10 AM
410,51000,4:10:10 AM
410,51002,4:10:10 AM
410,51003,4:10:10 AM
410,46072,4:10:10 AM
310,46071,3:10:10 AM
310,46072,3:10:10 AM
310,51000,3:10:10 AM
310,51001,3:10:10 AM
310,51002,3:10:10 AM
310,51003,3:10:10 AM
310,46069,3:10:10 AM
310,51101,3:10:10 AM
310,51004,3:10:10 AM
310,51001,3:10:10 AM
310,51000,3:10:10 AM
310,51002,3:10:10 AM
310,51003,3:10:10 AM
310,46066,3:10:10 AM
310,46072,3:10:10 AM
310,46071,3:10:10 AM
310,51004,3:10:10 AM
210,46002,2:10:10 AM
210,46059,2:10:10 AM
210,46078,2:10:10 AM
210,51004,2:10:10 AM
210,51101,2:10:10 AM
210,46072,2:10:10 AM
210,46066,2:10:10 AM
210,46071,2:10:10 AM
210,51101,2:10:10 AM
210,46078,2:10:10 AM
210,51004,2:10:10 AM
210,51001,2:10:10 AM
210,46002,2:10:10 AM
110,46002,1:10:10 AM
110,46025,1:10:10 AM
110,46053,1:10:10 AM
110,46087,1:10:10 AM
110,46088,1:10:10 AM
10,42040,12:10:10 AM
10,46087,12:10:10 AM
10,46088,12:10:10 AM
2310,42039,11:10:10 PM
2310,45002,11:10:10 PM
2310,45007,11:10:10 PM
10,46089,12:10:10 AM
10,46054,12:10:10 AM
10,46069,12:10:10 AM
10,46042,12:10:10 AM
10,46047,12:10:10 AM
10,46084,12:10:10 AM
10,46086,12:10:10 AM
10,46015,12:10:10 AM
10,46012,12:10:10 AM
10,46011,12:10:10 AM
10,46028,12:10:10 AM
10,46059,12:10:10 AM
10,46025,12:10:10 AM